"","COUNTRY","Agricultural.Land....","Land.Area.Km2.","Forested.Area....","X2023","Population","Import..US..Thousand.","landlocked","Avg_21_23","invasive_count"
"45","El Salvador",76.4,"21,041","12.60",27022640000,6453553,6500987.73,"NO",29654200000,0
"46","Equatorial Guinea",10.1,"28,051","55.50",11026774945,1355986,5141982.3,"NO",11703358928.3333,3
"47","Eritrea",75.2,"117,600","14.90",2065001626,6333135,669873.95,"NO",2065001626,8
"48","Estonia",23.1,"45,228","51.30",31386949981,1331824,18604298.22,"NO",35559643030.6667,72
"49","Eswatini",NA,"17,364","",3791304348,1093238,2374871.16,"YES",4464724795.66667,17
"50","Fiji",23.3,"18,274","55.90",5535548972,889953,715307.46,"NO",4925010866.66667,429
"51","Finland",7.5,"338,145","73.10",268761201365,5520314,82913195.8,"NO",281991594799,56
"52","France",52.4,"643,801","31.20",2715518274227,67059887,590012728.69,"NO",2818767786372,141
"53","Gabon",20,"267,667","90.00",16657960228,2172579,6772742.68,"NO",19315882125.6667,4
"54","Georgia",34.5,"69,700","40.60",17743195770,3720382,3792121.32,"NO",20325978934,22
"55","Germany",47.7,"357,022","32.70",3845630030824,83132799,1538830199.2,"NO",4059252226245.33,67
"56","Ghana",69,"238,533","41.20",66983634224,30792608,14913179.99,"NO",72992947474,30
"57","Greece",47.6,"131,957","31.70",209852761469,10716322,40665213.26,"NO",214597504589.667,65
"58","Grenada",23.5,"349","50.00",1228170370,112003,36735.19,"NO",1202461185,9
"59","Guatemala",36,"108,889","32.70",76710385880,16604026,13938931.81,"NO",85922266342.6667,11
"60","Guinea",59,"245,857","25.80",13590281809,12771246,10107445.13,"NO",16969949680,17
"61","Guinea-Bissau",58,"36,125","69.80",1340389411,1920922,180044.75,"NO",1537488703.33333,6
"62","Guyana",8.6,"214,969","83.90",4280443645,782766,4200046.32,"NO",9227493171.33333,68
"63","Haiti",66.8,"27,750","3.50",8498981821,11263077,1385191.63,"NO",16543316219.3333,15
"64","Honduras",28.9,"112,090","40.00",25095395475,9746117,11039118.54,"NO",28433938962,3
"65","Hungary",58.4,"93,028","22.90",160967157504,9769949,134275134.05,"YES",174010391201.333,56
"66","Iceland",18.7,"103,000","0.50",24188035739,361313,6197077.36,"NO",25860774560.6667,0
"67","India",60.4,"3,287,263","23.80",2.611e+12,1366417754,372312850.46,"NO",3048798905405,282
"68","Indonesia",31.5,"1,904,569","49.90",1119190780753,270203917,264351623.59,"NO",1208265485621,307
"69","Iraq",21.4,"438,317","1.90",234094042939,39309783,91171328.32,"NO",235322605347.333,17
"70","Israel",24.6,"20,770","7.70",395098666122,9053300,69776578.96,"NO",468552886071,153
"71","Italy",43.2,"301,340","31.80",2001244392042,60297396,611544045.05,"NO",2042010582473.67,329
"72","Jamaica",41,"10,991","30.90",16458071068,2948279,1107797.53,"NO",16071139390.6667,83
"73","Japan",12.3,"377,944","68.50",5081769542380,126226568,850187993.81,"NO",4772815827011.67,459
"74","Jordan",12,"89,342","1.10",43743661972,10101694,9808091.8,"NO",45437159624.3333,35
"75","Kazakhstan",80.4,"2,724,900","1.20",180161741180,18513930,59384037.77,"YES",199298999502.667,5
"76","Kenya",48.5,"580,367","7.80",95503088538,52573973,6255228.02,"NO",106208918676.667,149
"77","Kiribati",42,"811","15.00",194647202,117606,102443.44,"NO",215203393.333333,89
"78","Kuwait",8.4,"17,818","0.40",134761198946,4207083,63953633.45,"NO",152038965169.667,0
"79","Latvia",31.1,"64,589","54.00",34117202555,1912789,17392576.97,"NO",38332166273,153
"80","Lebanon",64.3,"10,400","13.40",53367042272,6855713,3646837.38,"NO",38249491914.5,5
"81","Lesotho",77.6,"30,355","1.60",2460072444,2125268,1074263.13,"YES",2462316158.66667,39
